Name,Logo,City,Region,Continent,Link,LatLong
Padre,https://cdn.shopify.com/s/files/1/1701/4333/files/padre-logo_d2bc07de-f699-4452-96da-a98581b9f3e6_410x.png?v=1590396168,Melbourne,Australia,Oceania,https://www.padrecoffee.com.au/,"-37.832827, 144.956415"
Proud Mary,https://cdn.shopify.com/s/files/1/0206/2220/t/7/assets/logo.png?v=9596301345527356802,Melbourne,Australia,Oceania,https://www.proudmarycoffee.com.au/pages/dining,"-37.802336, 144.985138"
Rumble,https://cdn.shopify.com/s/files/1/0066/8182/1287/files/Navy_Block_Web_Logo_410x.png?v=1596414981,Melbourne,Australia,Oceania,http://rumblecoffee.com.au/,"-37.792442, 144.934472"
Sensory Lab,https://cdn.shopify.com/s/files/1/0523/1977/files/Sensory_Lab_Logo_black2_511x68.png?v=1560427804,Melbourne,Australia,Oceania,http://www.sensorylab.com.au/,"-37.821996, 144.926504"
Seven Seads ,https://cdn.shopify.com/s/files/1/0168/5442/files/Insig_150x150.gif?v=1542259755,Melbourne,Australia,Oceania,http://sevenseeds.com.au/,"-37.802878, 144.959122"
Square One,https://static1.squarespace.com/static/5950bb8af5e231db42761702/t/5956da64725e25a22cd1b6a2/1603928178117/?format=1500w,Melbourne,Australia,Oceania,http://www.squareonecoffee.com.au/,"-37.828154, 144.993488"
St. Ali,https://cdn.shopify.com/s/files/1/2350/4463/files/logo-new_600x200.jpg?v=1560757299,Melbourne,Australia,Oceania,http://stali.com.au/,"-37.831252, 144.960360"
Veneziano,https://scontent-lga3-2.xx.fbcdn.net/v/t1.0-9/13892202_1438616742821082_7557548796185327928_n.png?_nc_cat=101&ccb=2&_nc_sid=85a577&_nc_ohc=S0IwXGLSdQQAX9e_z9r&_nc_ht=scontent-lga3-2.xx&oh=deb12392e177de339a03c47d1f97d142&oe=5FC49E4D,Melbourne,Australia,Oceania,https://order.hungryhungry.com/venezianorichmond/menu,"-37.816685, 145.013219"
Wide Open Road,https://cdn.shopify.com/s/files/1/2156/0003/files/WOR_Logo_Black_2020_500x.png?v=1581428934,Melbourne,Australia,Oceania,http://wideopenroad.com.au/,"-37.776258, 144.961224"
Wood and Co,https://cdn.shopify.com/s/files/1/1259/2381/files/1147292430106865664_360x.gif?v=1562373889,Melbourne,Australia,Oceania,https://woodandcocoffee.com.au/,"-37.767880, 144.955238"
Koko,https://cdn.shopify.com/s/files/1/1716/0623/files/KoKo_sign_on_white_copy_a2a86681-4300-4a9d-9e33-2c4fffaae70e.jpg?v=1486294493,"Mermaid Beach, QLD",Australia,Oceania,http://www.kokocoffee.com.au/,"-28.040483, 153.432830"
Crema Coffee Garage,https://cremacoffeegarage.com.au/pub/static/version1603398233/frontend/TemplateMonster/theme764/en_AU/images/logo.png,"Newcastle, NSW",Australia,Oceania,https://cremacoffeegarage.com.au/,"-32.917051, 151.732198"
Floozy,https://static1.squarespace.com/static/597876da1b631bbb72e62dc4/t/5f125e01ea509f7276e4cb1c/1603868077025/?format=1500w,"Newcastle, NSW",Australia,Oceania,https://www.floozycoffee.com/shop,"-32.928027, 151.767016"
5 Senses,https://scontent-lga3-2.xx.fbcdn.net/v/t31.0-1/p960x960/24297581_1518082254912745_7261042440999879410_o.jpg?_nc_cat=107&ccb=2&_nc_sid=dbb9e7&_nc_ohc=FI7aq3Zi5o0AX9k0nMD&_nc_ht=scontent-lga3-2.xx&tp=6&oh=2be365300219c1298ad195eba1da3af0&oe=5FC31FAD,Perth,Australia,Oceania,https://www.fivesenses.com.au/,"-32.2761142, 115.7675431"
Blacklist,https://scontent-lga3-2.xx.fbcdn.net/v/t1.0-0/s180x540/100752224_3126887107350774_7460231667710427136_o.png?_nc_cat=108&ccb=2&_nc_sid=85a577&_nc_ohc=0_0vmuLyv0IAX_6fxcw&_nc_ht=scontent-lga3-2.xx&oh=ec95fa12af5451c7f13f0472576f11e9&oe=5FC507E3,Perth,Australia,Oceania,https://blacklistcoffee.com.au/concept-store-subiaco/,"-31.9473143, 115.8248975"
Brother of Mine,https://cdn.shopify.com/s/files/1/2297/5659/files/teal-logo-01_110x.png?v=1548383198,Perth,Australia,Oceania,https://brotherofmine.com.au/,"-32.344158, 115.818446"
Community,https://cdn.shopify.com/s/files/1/0277/5069/4976/files/community-coffee-symbol_759c8130-25a5-4be5-b8f2-def279156d0a_180x.png?v=1596684172,Perth,Australia,Oceania,https://www.communitycoffee.com.au/,"-31.955679, 115.858667"
Darkstar,https://cdn.shopify.com/s/files/1/0124/4145/2601/files/darkstar-logo_300x.png?v=1529641901,Perth,Australia,Oceania,http://www.darkstarcoffee.com.au/,"-31.904721, 115.819970"
Hummblebee,https://scontent-lga3-2.xx.fbcdn.net/v/t1.0-1/22045719_1463845207037613_5305556163723621559_n.jpg?_nc_cat=109&ccb=2&_nc_sid=dbb9e7&_nc_ohc=6Y0404hbuawAX-ORA0d&_nc_ht=scontent-lga3-2.xx&oh=2856fc6b89af86fb34c68aeb104af12b&oe=5FC2DB8C,Perth,Australia,Oceania,https://humblebee.coffee/,"-31.955743, 115.905585"
Kaltiva,"https://static.wixstatic.com/media/971f90_bf615653352a471f86c6b2bf96adbb08~mv2.png/v1/fill/w_569,h_155,al_c,lg_1,q_85/KaltivaNOlineCR.webp",Perth,Australia,Oceania,http://www.kaltiva.com.au/,"-31.797076, 115.836286"
La Veen,https://cdn.shopify.com/s/files/1/0025/0285/2643/files/La_Veen_Writing_Black_410x.png?v=1554339266,Perth,Australia,Oceania,http://www.laveencoffee.com.au/,"-31.950618, 115.855850"
Laika,"https://static.wixstatic.com/media/43eb4f_8e31b5af8d474fa18aac6e7e7d5867bb~mv2.png/v1/fill/w_75,h_70,al_c,q_85,usm_0.66_1.00_0.01/43eb4f_8e31b5af8d474fa18aac6e7e7d5867bb~mv2.webp",Perth,Australia,Oceania,http://www.laikacoffee.com.au/,"-31.971047, 115.908885"
Little Owl,https://littleowlcoffeeroasters.com.au/wp-content/uploads/2020/05/Little-Owl_Logo-primary-1.png,Perth,Australia,Oceania,https://littleowlcoffeeroasters.com.au/,"-32.044398, 115.818126"
Loaded,https://cdn.shopify.com/s/files/1/0518/9917/t/3/assets/logo.png?v=5546222045753194805,Perth,Australia,Oceania,http://loadedroasters.com.au/,"-31.975221, 115.791665"
Mano a Mano,https://scontent-lga3-2.xx.fbcdn.net/v/t1.0-1/p960x960/36494488_159506301583732_104402400038617088_o.jpg?_nc_cat=103&ccb=2&_nc_sid=dbb9e7&_nc_ohc=joNmtTMDmrgAX-AgiU_&_nc_ht=scontent-lga3-2.xx&tp=6&oh=9027b6a50ec3cad989a3313e1aa9d254&oe=5FC2C60F,Perth,Australia,Oceania,http://manoamano.com.au/,"-31.948045, 115.846879"
Micrology,http://micrology.com.au/wp-content/uploads/2016/02/micrology-coffee-roastersx1.png,Perth,Australia,Oceania,http://www.micrology.com.au/,"-32.060003, 115.791798"
Modus,https://scontent-lga3-2.xx.fbcdn.net/v/t31.0-1/p960x960/14853155_351973618477953_8758275292400561491_o.jpg?_nc_cat=106&ccb=2&_nc_sid=dbb9e7&_nc_ohc=OWlXOloC_XYAX_aWpxG&_nc_ht=scontent-lga3-2.xx&tp=6&oh=dd23c9a716dc727638d64f7115b5b71a&oe=5FC63354,Perth,Australia,Oceania,http://modus.coffee/,"-31.935911, 115.871643"
Offshoot,https://cdn.shopify.com/s/files/1/0365/7400/3340/files/Offshoot.Logos_Circle.Small.Green.Transparent.png?v=1589606518,Perth,Australia,Oceania,https://offshoot-coffee.myshopify.com/,"-31.955600, 115.863788"
Open Plan,https://openplancoffeeroasters.com.au/wp-content/uploads/2015/07/logo.png,Perth,Australia,Oceania,https://openplancoffeeroasters.com.au/,"-31.932547, 115.859292"
Pound,https://poundcoffeeroastery.com.au/wp-content/themes/coded/img/header-logo.svg,Perth,Australia,Oceania,http://poundcoffeeroastery.com.au/,"-32.057114, 115.783083"
Precision ,https://cdn.shopify.com/s/files/1/0623/1305/files/Precision_Logo_200x.png?v=1595659935,Perth,Australia,Oceania,https://precisioncoffee.com.au/," -31.9209709, 115.9346008"
Twin Peaks,https://scontent-lga3-2.xx.fbcdn.net/v/t1.0-1/36613367_1677209329064611_2274391303007502336_n.jpg?_nc_cat=100&ccb=2&_nc_sid=dbb9e7&_nc_ohc=rCOqhAMhPc4AX-XnUzt&_nc_oc=AQkz2pRTG0JOjD9vJaida8WCSA9YqFVVauuzLpd9mTBPXguA40SfEWfnaMK_LJrnT9aPXFx0H8iIpQkE9E187mcZ&_nc_ht=scontent-lga3-2.xx&oh=a4aaae57673bd1d2c6680c6346634145&oe=5FC303A6,Perth,Australia,Oceania,https://twinpeaks.net.au/find-us/,"-31.901754, 115.898696"
Stash,https://www.stashcoffee.com.au/wp/wp-content/uploads/2019/11/STASH-logo-screen-res-300px.jpg,"Scottsdale,WA",Australia,Oceania,http://stashcoffee.com.au/,"-34.937116, 117.299810"
